event_id,event_name,event_date,initial_coverage_date,resolution_time_hours,event_category,outcome,outcome_binary,event_description,outcome_confirmed_by,experimental_plan_note,source_name,article_headline,article_date,article_summary,framing_prediction,source_correct,paywall_note
12,2019 General Election Conservative Majority,2019-12-12,2019-12-11,24,Election_Leadership,"The Conservative Party under Boris Johnson won a majority of 80 seats at the 12 December 2019 general election, the largest Conservative majority since 1987.",WIN,"The United Kingdom went to the polls on 12 December 2019 in a general election called by Boris Johnson to break the parliamentary deadlock over Brexit. Final polls published on 11 December show the Conservatives with a consistent lead of 10 to 12 percentage points over Labour, but the translation of vote share to seats under first-past-the-post introduces uncertainty about the size of any potential majority. Whether Johnson will achieve the working majority needed to pass his Brexit deal — or face another hung parliament — remains to be seen.",BBC News,"Tests whether outlets predicting a Conservative WIN (Telegraph, Times, Reuters, Sky News) vs those hedging (Guardian, BBC) correctly forecast the outcome. Polls were consistently clear so framing variance is moderate rather than high — useful for assessing how outlets translate polling certainty into prediction language.",Reuters,Britain votes with Johnson's Conservatives ahead in polls,2019-12-11,"Reuters reported the polling picture factually and noted analyst consensus that a Conservative majority was the most likely outcome, contextualising the election within the Brexit impasse. Coverage was measured but reflected the polling consensus.",WILL_WIN,TRUE,FREE
12,2019 General Election Conservative Majority,2019-12-12,2019-12-11,24,Election_Leadership,"The Conservative Party under Boris Johnson won a majority of 80 seats at the 12 December 2019 general election, the largest Conservative majority since 1987.",WIN,"The United Kingdom went to the polls on 12 December 2019 in a general election called by Boris Johnson to break the parliamentary deadlock over Brexit. Final polls published on 11 December show the Conservatives with a consistent lead of 10 to 12 percentage points over Labour, but the translation of vote share to seats under first-past-the-post introduces uncertainty about the size of any potential majority. Whether Johnson will achieve the working majority needed to pass his Brexit deal — or face another hung parliament — remains to be seen.",BBC News,"Tests whether outlets predicting a Conservative WIN (Telegraph, Times, Reuters, Sky News) vs those hedging (Guardian, BBC) correctly forecast the outcome. Polls were consistently clear so framing variance is moderate rather than high — useful for assessing how outlets translate polling certainty into prediction language.",Sky News,Election 2019: Polls point to Conservative victory but seat predictions vary widely,2019-12-11,"Sky News reported the polling lead and seat projections pointing to a Conservative majority, with political correspondents noting the scale of the lead made a hung parliament unlikely. Coverage did not rule out surprises but framed Johnson's victory as probable.",WILL_WIN,TRUE,FREE
13,Dominic Cummings Departure November 2020,2020-11-13,2020-11-12,24,Scandal,"Dominic Cummings departed Downing Street on 13 November 2020, carrying a box of belongings, in what Downing Street confirmed was his final day as chief adviser to Boris Johnson.",RESIGNED,"Reports emerged on 12 November 2020 of an acute power struggle inside Downing Street between Dominic Cummings and director of communications Lee Cain on one side, and others including Boris Johnson's partner Carrie Symonds on the other. Lee Cain resigned as communications director on 12 November. Reports suggest Cummings's own position has become untenable following the internal conflict, but Downing Street has not confirmed whether he will leave or remain as chief adviser.",BBC News,"A fast-resolution Scandal event (24 hours) driven by an internal power struggle rather than public conduct. Tests whether outlets with better Downing Street sourcing (Guardian, Times) predicted departure more accurately than those relying on official channels. Cummings's subsequent public claims about the circumstances of his departure add retrospective context.",Guardian,Dominic Cummings's position at No 10 under threat after Cain resignation,2020-11-12,"The Guardian reported the power struggle inside Downing Street and indicated that Cummings's position had become untenable following Cain's departure. Coverage suggested Cummings would depart imminently, citing sources close to the conflict.",WILL_RESIGN,TRUE,FREE
13,Dominic Cummings Departure November 2020,2020-11-13,2020-11-12,24,Scandal,"Dominic Cummings departed Downing Street on 13 November 2020, carrying a box of belongings, in what Downing Street confirmed was his final day as chief adviser to Boris Johnson.",RESIGNED,"Reports emerged on 12 November 2020 of an acute power struggle inside Downing Street between Dominic Cummings and director of communications Lee Cain on one side, and others including Boris Johnson's partner Carrie Symonds on the other. Lee Cain resigned as communications director on 12 November. Reports suggest Cummings's own position has become untenable following the internal conflict, but Downing Street has not confirmed whether he will leave or remain as chief adviser.",BBC News,"A fast-resolution Scandal event (24 hours) driven by an internal power struggle rather than public conduct. Tests whether outlets with better Downing Street sourcing (Guardian, Times) predicted departure more accurately than those relying on official channels. Cummings's subsequent public claims about the circumstances of his departure add retrospective context.",BBC,Dominic Cummings future at No 10 uncertain after Lee Cain resignation,2020-11-12,"BBC News reported the power struggle and Cain's departure factually, noting that Cummings's own position was being questioned but that Downing Street had not confirmed his departure. Coverage was measured about forecasting his fate.",UNCLEAR,PARTIAL,FREE
13,Dominic Cummings Departure November 2020,2020-11-13,2020-11-12,24,Scandal,"Dominic Cummings departed Downing Street on 13 November 2020, carrying a box of belongings, in what Downing Street confirmed was his final day as chief adviser to Boris Johnson.",RESIGNED,"Reports emerged on 12 November 2020 of an acute power struggle inside Downing Street between Dominic Cummings and director of communications Lee Cain on one side, and others including Boris Johnson's partner Carrie Symonds on the other. Lee Cain resigned as communications director on 12 November. Reports suggest Cummings's own position has become untenable following the internal conflict, but Downing Street has not confirmed whether he will leave or remain as chief adviser.",BBC News,"A fast-resolution Scandal event (24 hours) driven by an internal power struggle rather than public conduct. Tests whether outlets with better Downing Street sourcing (Guardian, Times) predicted departure more accurately than those relying on official channels. Cummings's subsequent public claims about the circumstances of his departure add retrospective context.",Telegraph,Cummings future at No 10 in doubt after communications chief Cain quits,2020-11-12,"The Telegraph, which had been broadly sympathetic to Cummings's agenda, reported the internal chaos with uncertainty about whether he would depart. Coverage noted Johnson had previously stood by Cummings through the Durham lockdown controversy.",UNCLEAR,PARTIAL,PAYWALLED
13,Dominic Cummings Departure November 2020,2020-11-13,2020-11-12,24,Scandal,"Dominic Cummings departed Downing Street on 13 November 2020, carrying a box of belongings, in what Downing Street confirmed was his final day as chief adviser to Boris Johnson.",RESIGNED,"Reports emerged on 12 November 2020 of an acute power struggle inside Downing Street between Dominic Cummings and director of communications Lee Cain on one side, and others including Boris Johnson's partner Carrie Symonds on the other. Lee Cain resigned as communications director on 12 November. Reports suggest Cummings's own position has become untenable following the internal conflict, but Downing Street has not confirmed whether he will leave or remain as chief adviser.",BBC News,"A fast-resolution Scandal event (24 hours) driven by an internal power struggle rather than public conduct. Tests whether outlets with better Downing Street sourcing (Guardian, Times) predicted departure more accurately than those relying on official channels. Cummings's subsequent public claims about the circumstances of his departure add retrospective context.",Times,Cummings expected to leave No 10 after Cain exit triggers Downing Street crisis,2020-11-12,"The Times reported that Cummings was expected to depart imminently, citing sources indicating the internal conflict had reached a point of no return. Coverage framed his departure as likely within days.",WILL_RESIGN,TRUE,PAYWALLED
13,Dominic Cummings Departure November 2020,2020-11-13,2020-11-12,24,Scandal,"Dominic Cummings departed Downing Street on 13 November 2020, carrying a box of belongings, in what Downing Street confirmed was his final day as chief adviser to Boris Johnson.",RESIGNED,"Reports emerged on 12 November 2020 of an acute power struggle inside Downing Street between Dominic Cummings and director of communications Lee Cain on one side, and others including Boris Johnson's partner Carrie Symonds on the other. Lee Cain resigned as communications director on 12 November. Reports suggest Cummings's own position has become untenable following the internal conflict, but Downing Street has not confirmed whether he will leave or remain as chief adviser.",BBC News,"A fast-resolution Scandal event (24 hours) driven by an internal power struggle rather than public conduct. Tests whether outlets with better Downing Street sourcing (Guardian, Times) predicted departure more accurately than those relying on official channels. Cummings's subsequent public claims about the circumstances of his departure add retrospective context.",Reuters,UK PM Johnson's top aide Cummings faces uncertain future after ally quits,2020-11-12,"Reuters reported the Cain resignation and the internal Downing Street conflict factually, noting that Cummings's position had become uncertain. No explicit forecast was made.",UNCLEAR,PARTIAL,FREE
13,Dominic Cummings Departure November 2020,2020-11-13,2020-11-12,24,Scandal,"Dominic Cummings departed Downing Street on 13 November 2020, carrying a box of belongings, in what Downing Street confirmed was his final day as chief adviser to Boris Johnson.",RESIGNED,"Reports emerged on 12 November 2020 of an acute power struggle inside Downing Street between Dominic Cummings and director of communications Lee Cain on one side, and others including Boris Johnson's partner Carrie Symonds on the other. Lee Cain resigned as communications director on 12 November. Reports suggest Cummings's own position has become untenable following the internal conflict, but Downing Street has not confirmed whether he will leave or remain as chief adviser.",BBC News,"A fast-resolution Scandal event (24 hours) driven by an internal power struggle rather than public conduct. Tests whether outlets with better Downing Street sourcing (Guardian, Times) predicted departure more accurately than those relying on official channels. Cummings's subsequent public claims about the circumstances of his departure add retrospective context.",Sky News,Dominic Cummings could be next to leave No 10 after Cain departure,2020-11-12,"Sky News reported that sources indicated Cummings was likely to follow Cain out of Downing Street, with political correspondents citing the severity of the internal conflict. Coverage suggested departure was probable but not certain.",UNCLEAR,PARTIAL,FREE
14,Sue Gray Partygate Report May 2022,2022-05-25,2022-05-23,48,Scandal,"Sue Gray published her full Partygate report on 25 May 2022, confirming widespread rule-breaking at Downing Street during Covid lockdowns; Boris Johnson survived the immediate political fallout and remained Prime Minister.",SURVIVED,"Senior civil servant Sue Gray is expected to publish her full report into gatherings held at Downing Street and other government buildings during Covid lockdown restrictions imminently, following an interim report published in January 2022. The Metropolitan Police concluded its investigation in May 2022, issuing 126 fixed penalty notices including to Boris Johnson. Reports on 23 May indicate the full Gray report will be published within days and is expected to be highly critical of the culture in Downing Street. Whether its findings will be severe enough to force Johnson's resignation is contested.",BBC News,"A Scandal event where the outcome was SURVIVED — Johnson did not resign immediately after the report. Tests whether outlets that predicted WILL_RESIGN (Guardian, Times) are coded FALSE, while those predicting WILL_SURVIVE (Telegraph) are coded TRUE. Useful for examining whether anti-government framing bias leads to over-prediction of resignation events.",Guardian,Sue Gray full partygate report imminent and expected to be damning for Johnson,2022-05-23,"The Guardian framed the imminent Gray report as likely to be sufficiently damaging to finally end Johnson's premiership, citing sources indicating the findings would include photographic evidence of gatherings. Coverage suggested the report could be the moment Conservative MPs finally moved against him.",WILL_RESIGN,FALSE,FREE
14,Sue Gray Partygate Report May 2022,2022-05-25,2022-05-23,48,Scandal,"Sue Gray published her full Partygate report on 25 May 2022, confirming widespread rule-breaking at Downing Street during Covid lockdowns; Boris Johnson survived the immediate political fallout and remained Prime Minister.",SURVIVED,"Senior civil servant Sue Gray is expected to publish her full report into gatherings held at Downing Street and other government buildings during Covid lockdown restrictions imminently, following an interim report published in January 2022. The Metropolitan Police concluded its investigation in May 2022, issuing 126 fixed penalty notices including to Boris Johnson. Reports on 23 May indicate the full Gray report will be published within days and is expected to be highly critical of the culture in Downing Street. Whether its findings will be severe enough to force Johnson's resignation is contested.",BBC News,"A Scandal event where the outcome was SURVIVED — Johnson did not resign immediately after the report. Tests whether outlets that predicted WILL_RESIGN (Guardian, Times) are coded FALSE, while those predicting WILL_SURVIVE (Telegraph) are coded TRUE. Useful for examining whether anti-government framing bias leads to over-prediction of resignation events.",BBC,"Sue Gray partygate report to be published this week, government confirms",2022-05-23,BBC News reported the imminent publication of the Gray report without speculating on whether Johnson would resign following its findings. Coverage set out what the report was expected to cover and how Conservative MPs had said they would respond.,UNCLEAR,PARTIAL,FREE
14,Sue Gray Partygate Report May 2022,2022-05-25,2022-05-23,48,Scandal,"Sue Gray published her full Partygate report on 25 May 2022, confirming widespread rule-breaking at Downing Street during Covid lockdowns; Boris Johnson survived the immediate political fallout and remained Prime Minister.",SURVIVED,"Senior civil servant Sue Gray is expected to publish her full report into gatherings held at Downing Street and other government buildings during Covid lockdown restrictions imminently, following an interim report published in January 2022. The Metropolitan Police concluded its investigation in May 2022, issuing 126 fixed penalty notices including to Boris Johnson. Reports on 23 May indicate the full Gray report will be published within days and is expected to be highly critical of the culture in Downing Street. Whether its findings will be severe enough to force Johnson's resignation is contested.",BBC News,"A Scandal event where the outcome was SURVIVED — Johnson did not resign immediately after the report. Tests whether outlets that predicted WILL_RESIGN (Guardian, Times) are coded FALSE, while those predicting WILL_SURVIVE (Telegraph) are coded TRUE. Useful for examining whether anti-government framing bias leads to over-prediction of resignation events.",Telegraph,Johnson set to survive Gray report as Tory MPs say findings already priced in,2022-05-23,The Telegraph reported that senior Conservative MPs believed the Partygate scandal had already caused its maximum political damage and that the Gray report was unlikely to produce enough new material to topple Johnson. Coverage framed Johnson as likely to survive the publication.,WILL_SURVIVE,TRUE,PAYWALLED
14,Sue Gray Partygate Report May 2022,2022-05-25,2022-05-23,48,Scandal,"Sue Gray published her full Partygate report on 25 May 2022, confirming widespread rule-breaking at Downing Street during Covid lockdowns; Boris Johnson survived the immediate political fallout and remained Prime Minister.",SURVIVED,"Senior civil servant Sue Gray is expected to publish her full report into gatherings held at Downing Street and other government buildings during Covid lockdown restrictions imminently, following an interim report published in January 2022. The Metropolitan Police concluded its investigation in May 2022, issuing 126 fixed penalty notices including to Boris Johnson. Reports on 23 May indicate the full Gray report will be published within days and is expected to be highly critical of the culture in Downing Street. Whether its findings will be severe enough to force Johnson's resignation is contested.",BBC News,"A Scandal event where the outcome was SURVIVED — Johnson did not resign immediately after the report. Tests whether outlets that predicted WILL_RESIGN (Guardian, Times) are coded FALSE, while those predicting WILL_SURVIVE (Telegraph) are coded TRUE. Useful for examining whether anti-government framing bias leads to over-prediction of resignation events.",Times,Gray report set to be most damning verdict yet on Downing Street culture,2022-05-23,"The Times reported that the full Gray report would contain photographic evidence and more damaging detail than the interim version, and suggested it could provide the trigger for a renewed confidence vote attempt against Johnson. Coverage leaned toward WILL_RESIGN.",WILL_RESIGN,FALSE,PAYWALLED
14,Sue Gray Partygate Report May 2022,2022-05-25,2022-05-23,48,Scandal,"Sue Gray published her full Partygate report on 25 May 2022, confirming widespread rule-breaking at Downing Street during Covid lockdowns; Boris Johnson survived the immediate political fallout and remained Prime Minister.",SURVIVED,"Senior civil servant Sue Gray is expected to publish her full report into gatherings held at Downing Street and other government buildings during Covid lockdown restrictions imminently, following an interim report published in January 2022. The Metropolitan Police concluded its investigation in May 2022, issuing 126 fixed penalty notices including to Boris Johnson. Reports on 23 May indicate the full Gray report will be published within days and is expected to be highly critical of the culture in Downing Street. Whether its findings will be severe enough to force Johnson's resignation is contested.",BBC News,"A Scandal event where the outcome was SURVIVED — Johnson did not resign immediately after the report. Tests whether outlets that predicted WILL_RESIGN (Guardian, Times) are coded FALSE, while those predicting WILL_SURVIVE (Telegraph) are coded TRUE. Useful for examining whether anti-government framing bias leads to over-prediction of resignation events.",Reuters,UK PM Johnson awaits publication of partygate inquiry report,2022-05-23,"Reuters reported the imminent Gray report publication in factual terms, setting out the background of the Partygate investigation and Johnson's prior police fine. No forecast was made about his political fate.",UNCLEAR,PARTIAL,FREE
14,Sue Gray Partygate Report May 2022,2022-05-25,2022-05-23,48,Scandal,"Sue Gray published her full Partygate report on 25 May 2022, confirming widespread rule-breaking at Downing Street during Covid lockdowns; Boris Johnson survived the immediate political fallout and remained Prime Minister.",SURVIVED,"Senior civil servant Sue Gray is expected to publish her full report into gatherings held at Downing Street and other government buildings during Covid lockdown restrictions imminently, following an interim report published in January 2022. The Metropolitan Police concluded its investigation in May 2022, issuing 126 fixed penalty notices including to Boris Johnson. Reports on 23 May indicate the full Gray report will be published within days and is expected to be highly critical of the culture in Downing Street. Whether its findings will be severe enough to force Johnson's resignation is contested.",BBC News,"A Scandal event where the outcome was SURVIVED — Johnson did not resign immediately after the report. Tests whether outlets that predicted WILL_RESIGN (Guardian, Times) are coded FALSE, while those predicting WILL_SURVIVE (Telegraph) are coded TRUE. Useful for examining whether anti-government framing bias leads to over-prediction of resignation events.",Sky News,Sue Gray report due this week — will it be enough to end Johnson's premiership?,2022-05-23,"Sky News framed the publication as an open question about Johnson's survival, reporting that the threshold for action among Conservative MPs remained unclear. Coverage was balanced but noted the report alone was unlikely to be sufficient if MPs had already decided to wait.",UNCLEAR,PARTIAL,FREE
15,Scotland IndyRef2 Supreme Court Ruling 2022,2022-11-23,2022-11-21,48,Legal_Courts,The Supreme Court ruled unanimously on 23 November 2022 that the Scottish Parliament does not have the power to legislate for an independence referendum without the consent of the UK Parliament.,BLOCKED,"The Scottish Government referred a question to the Supreme Court asking whether it had the power to legislate for a second independence referendum without a Section 30 order from Westminster. The court heard arguments on 11 and 12 October 2022. Reports on 21 November indicate the judgment is expected within days. The Scottish Government under Nicola Sturgeon argues the Holyrood parliament has the competence to legislate for a consultative referendum; the UK Government argues it does not. The legal question is finely balanced, according to constitutional experts.",BBC News,"A Legal_Courts event where most outlets were genuinely uncertain about the legal outcome, providing a near-uniform UNCLEAR baseline. The Telegraph's unionist framing (WILL_LOSE for SNP) is the principal divergent signal. Useful for calibrating model behaviour when framing variance is low.",Guardian,Supreme Court set to rule on Scottish independence referendum powers,2022-11-21,"The Guardian reported the imminent judgment with reference to both sides of the legal argument, noting that constitutional experts were divided on whether Holyrood had the competence to legislate. Coverage did not explicitly predict the outcome.",UNCLEAR,PARTIAL,FREE
15,Scotland IndyRef2 Supreme Court Ruling 2022,2022-11-23,2022-11-21,48,Legal_Courts,The Supreme Court ruled unanimously on 23 November 2022 that the Scottish Parliament does not have the power to legislate for an independence referendum without the consent of the UK Parliament.,BLOCKED,"The Scottish Government referred a question to the Supreme Court asking whether it had the power to legislate for a second independence referendum without a Section 30 order from Westminster. The court heard arguments on 11 and 12 October 2022. Reports on 21 November indicate the judgment is expected within days. The Scottish Government under Nicola Sturgeon argues the Holyrood parliament has the competence to legislate for a consultative referendum; the UK Government argues it does not. The legal question is finely balanced, according to constitutional experts.",BBC News,"A Legal_Courts event where most outlets were genuinely uncertain about the legal outcome, providing a near-uniform UNCLEAR baseline. The Telegraph's unionist framing (WILL_LOSE for SNP) is the principal divergent signal. Useful for calibrating model behaviour when framing variance is low.",BBC,Supreme Court to rule on Holyrood's power to hold independence referendum,2022-11-21,"BBC News reported the expected judgment in factual terms, setting out the legal question, both governments' positions, and the implications of either verdict. No prediction was made.",UNCLEAR,PARTIAL,FREE
15,Scotland IndyRef2 Supreme Court Ruling 2022,2022-11-23,2022-11-21,48,Legal_Courts,The Supreme Court ruled unanimously on 23 November 2022 that the Scottish Parliament does not have the power to legislate for an independence referendum without the consent of the UK Parliament.,BLOCKED,"The Scottish Government referred a question to the Supreme Court asking whether it had the power to legislate for a second independence referendum without a Section 30 order from Westminster. The court heard arguments on 11 and 12 October 2022. Reports on 21 November indicate the judgment is expected within days. The Scottish Government under Nicola Sturgeon argues the Holyrood parliament has the competence to legislate for a consultative referendum; the UK Government argues it does not. The legal question is finely balanced, according to constitutional experts.",BBC News,"A Legal_Courts event where most outlets were genuinely uncertain about the legal outcome, providing a near-uniform UNCLEAR baseline. The Telegraph's unionist framing (WILL_LOSE for SNP) is the principal divergent signal. Useful for calibrating model behaviour when framing variance is low.",Telegraph,Supreme Court expected to block SNP bid for independence referendum,2022-11-21,"The Telegraph, with a broadly unionist editorial perspective, reported that legal analysts expected the court to find against the Scottish Government, citing the constitutional limits of devolution. Coverage leaned toward a BLOCKED outcome for the SNP's plans.",WILL_LOSE,TRUE,PAYWALLED
15,Scotland IndyRef2 Supreme Court Ruling 2022,2022-11-23,2022-11-21,48,Legal_Courts,The Supreme Court ruled unanimously on 23 November 2022 that the Scottish Parliament does not have the power to legislate for an independence referendum without the consent of the UK Parliament.,BLOCKED,"The Scottish Government referred a question to the Supreme Court asking whether it had the power to legislate for a second independence referendum without a Section 30 order from Westminster. The court heard arguments on 11 and 12 October 2022. Reports on 21 November indicate the judgment is expected within days. The Scottish Government under Nicola Sturgeon argues the Holyrood parliament has the competence to legislate for a consultative referendum; the UK Government argues it does not. The legal question is finely balanced, according to constitutional experts.",BBC News,"A Legal_Courts event where most outlets were genuinely uncertain about the legal outcome, providing a near-uniform UNCLEAR baseline. The Telegraph's unionist framing (WILL_LOSE for SNP) is the principal divergent signal. Useful for calibrating model behaviour when framing variance is low.",Times,Sturgeon faces pivotal moment as Supreme Court prepares independence ruling,2022-11-21,"The Times reported the imminent judgment as a pivotal moment for the Scottish independence movement, noting that constitutional experts were cautious about predicting an outcome. Coverage presented the legal question as genuinely contested.",UNCLEAR,PARTIAL,PAYWALLED
15,Scotland IndyRef2 Supreme Court Ruling 2022,2022-11-23,2022-11-21,48,Legal_Courts,The Supreme Court ruled unanimously on 23 November 2022 that the Scottish Parliament does not have the power to legislate for an independence referendum without the consent of the UK Parliament.,BLOCKED,"The Scottish Government referred a question to the Supreme Court asking whether it had the power to legislate for a second independence referendum without a Section 30 order from Westminster. The court heard arguments on 11 and 12 October 2022. Reports on 21 November indicate the judgment is expected within days. The Scottish Government under Nicola Sturgeon argues the Holyrood parliament has the competence to legislate for a consultative referendum; the UK Government argues it does not. The legal question is finely balanced, according to constitutional experts.",BBC News,"A Legal_Courts event where most outlets were genuinely uncertain about the legal outcome, providing a near-uniform UNCLEAR baseline. The Telegraph's unionist framing (WILL_LOSE for SNP) is the principal divergent signal. Useful for calibrating model behaviour when framing variance is low.",Reuters,Scotland's independence bid faces Supreme Court verdict,2022-11-21,"Reuters reported the expected ruling in factual terms, setting out the devolution framework and the constitutional implications of either verdict for the SNP's independence strategy. No legal prediction was made.",UNCLEAR,PARTIAL,FREE
15,Scotland IndyRef2 Supreme Court Ruling 2022,2022-11-23,2022-11-21,48,Legal_Courts,The Supreme Court ruled unanimously on 23 November 2022 that the Scottish Parliament does not have the power to legislate for an independence referendum without the consent of the UK Parliament.,BLOCKED,"The Scottish Government referred a question to the Supreme Court asking whether it had the power to legislate for a second independence referendum without a Section 30 order from Westminster. The court heard arguments on 11 and 12 October 2022. Reports on 21 November indicate the judgment is expected within days. The Scottish Government under Nicola Sturgeon argues the Holyrood parliament has the competence to legislate for a consultative referendum; the UK Government argues it does not. The legal question is finely balanced, according to constitutional experts.",BBC News,"A Legal_Courts event where most outlets were genuinely uncertain about the legal outcome, providing a near-uniform UNCLEAR baseline. The Telegraph's unionist framing (WILL_LOSE for SNP) is the principal divergent signal. Useful for calibrating model behaviour when framing variance is low.",Sky News,Supreme Court independence ruling due — what happens if Scotland wins or loses?,2022-11-21,"Sky News framed coverage around the implications of each possible verdict rather than predicting one, setting out how Sturgeon had said she would respond to either outcome. Coverage was balanced and did not forecast the ruling.",UNCLEAR,PARTIAL,FREE
16,2024 General Election Labour Win,2024-07-05,2024-07-03,48,Election_Leadership,Labour won a landslide majority of 412 seats at the 4 July 2024 general election; Keir Starmer became Prime Minister on 5 July 2024.,WIN,"The United Kingdom is holding a general election on 4 July 2024, called by Rishi Sunak on 22 May 2024. Final polls published on 3 July consistently show Labour with a lead of 18 to 22 percentage points, which seat projection models translate into a Labour majority of between 150 and 200 seats. The Conservative Party is polling at historic lows. Whether the polls accurately capture final turnout patterns — and the precise scale of any Labour majority — remains to be confirmed by the result.",BBC News,"Tests whether near-universal WILL_WIN predictions for Labour (Guardian, Telegraph, Times, Reuters, Sky News) vs BBC's conventional UNCLEAR framing correctly forecast the WIN outcome. A low-disagreement event by design — polling was unusually clear — useful for calibrating what low VADER variance looks like in practice and verifying source accuracy on high-confidence events.",Guardian,Labour on course for historic majority as final polls show record Conservative collapse,2024-07-03,"The Guardian reported the polling evidence as pointing decisively to a Labour landslide, with coverage strongly framing a Labour win as the expected outcome. Analysis focused on the likely scale of the majority rather than whether Labour would win.",WILL_WIN,TRUE,FREE
16,2024 General Election Labour Win,2024-07-05,2024-07-03,48,Election_Leadership,Labour won a landslide majority of 412 seats at the 4 July 2024 general election; Keir Starmer became Prime Minister on 5 July 2024.,WIN,"The United Kingdom is holding a general election on 4 July 2024, called by Rishi Sunak on 22 May 2024. Final polls published on 3 July consistently show Labour with a lead of 18 to 22 percentage points, which seat projection models translate into a Labour majority of between 150 and 200 seats. The Conservative Party is polling at historic lows. Whether the polls accurately capture final turnout patterns — and the precise scale of any Labour majority — remains to be confirmed by the result.",BBC News,"Tests whether near-universal WILL_WIN predictions for Labour (Guardian, Telegraph, Times, Reuters, Sky News) vs BBC's conventional UNCLEAR framing correctly forecast the WIN outcome. A low-disagreement event by design — polling was unusually clear — useful for calibrating what low VADER variance looks like in practice and verifying source accuracy on high-confidence events.",BBC,Election 2024: Voters head to polls with Labour well ahead in surveys,2024-07-03,BBC News reported the polling lead factually without translating it into an explicit prediction of a Labour majority. Coverage set out both parties' final campaign messages and noted that historical polling errors meant certainty was impossible.,UNCLEAR,PARTIAL,FREE
16,2024 General Election Labour Win,2024-07-05,2024-07-03,48,Election_Leadership,Labour won a landslide majority of 412 seats at the 4 July 2024 general election; Keir Starmer became Prime Minister on 5 July 2024.,WIN,"The United Kingdom is holding a general election on 4 July 2024, called by Rishi Sunak on 22 May 2024. Final polls published on 3 July consistently show Labour with a lead of 18 to 22 percentage points, which seat projection models translate into a Labour majority of between 150 and 200 seats. The Conservative Party is polling at historic lows. Whether the polls accurately capture final turnout patterns — and the precise scale of any Labour majority — remains to be confirmed by the result.",BBC News,"Tests whether near-universal WILL_WIN predictions for Labour (Guardian, Telegraph, Times, Reuters, Sky News) vs BBC's conventional UNCLEAR framing correctly forecast the WIN outcome. A low-disagreement event by design — polling was unusually clear — useful for calibrating what low VADER variance looks like in practice and verifying source accuracy on high-confidence events.",Telegraph,Tories face wipeout as final polls show Labour poised for landslide,2024-07-03,"Even the Telegraph — ordinarily a Conservative-supporting outlet — reported the polling picture as pointing to a Labour landslide, with coverage focusing on the scale of the coming Conservative defeat rather than contesting the likely outcome. Framing accepted Labour's win as expected.",WILL_WIN,TRUE,PAYWALLED
16,2024 General Election Labour Win,2024-07-05,2024-07-03,48,Election_Leadership,Labour won a landslide majority of 412 seats at the 4 July 2024 general election; Keir Starmer became Prime Minister on 5 July 2024.,WIN,"The United Kingdom is holding a general election on 4 July 2024, called by Rishi Sunak on 22 May 2024. Final polls published on 3 July consistently show Labour with a lead of 18 to 22 percentage points, which seat projection models translate into a Labour majority of between 150 and 200 seats. The Conservative Party is polling at historic lows. Whether the polls accurately capture final turnout patterns — and the precise scale of any Labour majority — remains to be confirmed by the result.",BBC News,"Tests whether near-universal WILL_WIN predictions for Labour (Guardian, Telegraph, Times, Reuters, Sky News) vs BBC's conventional UNCLEAR framing correctly forecast the WIN outcome. A low-disagreement event by design — polling was unusually clear — useful for calibrating what low VADER variance looks like in practice and verifying source accuracy on high-confidence events.",Times,Labour set for historic victory as Conservative poll collapse deepens,2024-07-03,"The Times reported polling evidence as pointing unambiguously to a Labour majority, with seat projection analysis suggesting a majority of 150 to 200. Coverage focused on what a Starmer government's first days would look like.",WILL_WIN,TRUE,PAYWALLED
16,2024 General Election Labour Win,2024-07-05,2024-07-03,48,Election_Leadership,Labour won a landslide majority of 412 seats at the 4 July 2024 general election; Keir Starmer became Prime Minister on 5 July 2024.,WIN,"The United Kingdom is holding a general election on 4 July 2024, called by Rishi Sunak on 22 May 2024. Final polls published on 3 July consistently show Labour with a lead of 18 to 22 percentage points, which seat projection models translate into a Labour majority of between 150 and 200 seats. The Conservative Party is polling at historic lows. Whether the polls accurately capture final turnout patterns — and the precise scale of any Labour majority — remains to be confirmed by the result.",BBC News,"Tests whether near-universal WILL_WIN predictions for Labour (Guardian, Telegraph, Times, Reuters, Sky News) vs BBC's conventional UNCLEAR framing correctly forecast the WIN outcome. A low-disagreement event by design — polling was unusually clear — useful for calibrating what low VADER variance looks like in practice and verifying source accuracy on high-confidence events.",Reuters,Britain votes in election that polls show will deliver Labour landslide,2024-07-03,"Reuters reported the polling picture factually, noting analyst consensus that Labour would win a substantial majority and contextualising the election within the UK's cost-of-living and public services crises. Coverage reflected the polling consensus without hedging.",WILL_WIN,TRUE,FREE
